date,poor,very poor,crop,year
1989-09-03,8,3,corn,1989
1989-09-10,7,2,corn,1989
1989-09-17,6,2,corn,1989
1989-09-24,6,2,corn,1989
1989-10-01,8,2,corn,1989
1990-06-03,6,1,corn,1990
1990-06-10,7,1,corn,1990
1990-06-17,5,1,corn,1990
1990-06-24,5,1,corn,1990
1990-07-01,4,1,corn,1990
1990-07-08,4,1,corn,1990
1990-07-15,4,1,corn,1990
1990-07-22,4,1,corn,1990
1990-07-29,3,1,corn,1990
1990-08-05,3,1,corn,1990
1990-08-12,4,1,corn,1990
1990-08-19,5,1,corn,1990
1990-08-26,4,1,corn,1990
1990-09-02,4,1,corn,1990
1990-09-09,4,1,corn,1990
1990-09-16,3,1,corn,1990
1990-09-23,4,1,corn,1990
1990-09-30,4,1,corn,1990
1990-10-07,3,1,corn,1990
1990-10-14,3,1,corn,1990
1991-06-02,2,1,corn,1991
1991-06-09,2,0,corn,1991
1991-06-16,2,0,corn,1991
1991-06-23,2,0,corn,1991
1991-06-30,4,0,corn,1991
1991-07-07,4,2,corn,1991
1991-07-14,4,1,corn,1991
1991-07-21,6,3,corn,1991
1991-07-28,10,3,corn,1991
1991-08-04,16,5,corn,1991
1991-08-11,14,5,corn,1991
1991-08-18,12,5,corn,1991
1991-08-25,12,6,corn,1991
1991-09-01,14,4,corn,1991
1991-09-08,12,5,corn,1991
1991-09-15,12,4,corn,1991
1991-09-22,11,4,corn,1991
1991-09-29,10,4,corn,1991
1991-10-06,9,5,corn,1991
1992-05-24,3,0,corn,1992
1992-05-31,8,1,corn,1992
1992-06-07,8,1,corn,1992
1992-06-14,6,1,corn,1992
1992-06-21,6,0,corn,1992
1992-06-28,6,2,corn,1992
1992-07-05,9,1,corn,1992
1992-07-12,4,1,corn,1992
1992-07-19,3,1,corn,1992
1992-07-26,3,1,corn,1992
1992-08-02,3,1,corn,1992
1992-08-09,3,1,corn,1992
1992-08-16,3,1,corn,1992
1992-08-23,4,1,corn,1992
1992-08-30,4,1,corn,1992
1992-09-06,4,1,corn,1992
1992-09-13,4,1,corn,1992
1992-09-20,3,1,corn,1992
1992-09-27,3,1,corn,1992
1992-10-04,3,2,corn,1992
1992-10-11,3,2,corn,1992
1992-10-18,3,1,corn,1992
1992-10-25,3,1,corn,1992
1992-11-01,3,1,corn,1992
1993-06-06,7,2,corn,1993
1993-06-13,6,1,corn,1993
1993-06-20,7,1,corn,1993
1993-06-27,6,1,corn,1993
1993-07-04,9,2,corn,1993
1993-07-11,10,3,corn,1993
1993-07-18,12,4,corn,1993
1993-07-25,14,4,corn,1993
1993-08-01,13,3,corn,1993
1993-08-08,15,3,corn,1993
1993-08-15,12,4,corn,1993
1993-08-22,14,3,corn,1993
1993-08-29,11,2,corn,1993
1993-09-05,12,3,corn,1993
1993-09-12,12,3,corn,1993
1993-09-19,12,3,corn,1993
1993-09-26,13,3,corn,1993
1993-10-03,12,3,corn,1993
1993-10-10,12,3,corn,1993
1993-10-17,15,3,corn,1993
1993-10-24,15,4,corn,1993
1994-05-29,1,0,corn,1994
1994-06-05,2,0,corn,1994
1994-06-12,2,0,corn,1994
1994-06-19,2,0,corn,1994
1994-06-26,3,0,corn,1994
1994-07-03,1,0,corn,1994
1994-07-10,1,0,corn,1994
1994-07-17,1,0,corn,1994
1994-07-24,2,0,corn,1994
1994-07-31,2,1,corn,1994
1994-08-07,2,0,corn,1994
1994-08-14,2,1,corn,1994
1994-08-21,2,1,corn,1994
1994-08-28,2,1,corn,1994
1994-09-04,2,0,corn,1994
1994-09-11,2,0,corn,1994
1994-09-18,2,0,corn,1994
1994-09-25,2,0,corn,1994
1994-10-02,1,1,corn,1994
1995-06-18,7,1,corn,1995
1995-06-25,7,1,corn,1995
1995-07-02,6,1,corn,1995
1995-07-09,6,1,corn,1995
1995-07-16,7,1,corn,1995
1995-07-23,8,1,corn,1995
1995-07-30,7,2,corn,1995
1995-08-06,7,1,corn,1995
1995-08-13,6,1,corn,1995
1995-08-20,6,1,corn,1995
1995-08-27,7,2,corn,1995
1995-09-03,9,1,corn,1995
1995-09-10,9,2,corn,1995
1995-09-17,9,2,corn,1995
1995-09-24,10,2,corn,1995
1995-10-01,10,2,corn,1995
1995-10-08,10,2,corn,1995
1996-06-02,9,2,corn,1996
1996-06-09,9,2,corn,1996
1996-06-16,9,2,corn,1996
1996-06-23,8,2,corn,1996
1996-06-30,7,2,corn,1996
1996-07-07,8,2,corn,1996
1996-07-14,8,3,corn,1996
1996-07-21,8,3,corn,1996
1996-07-28,8,3,corn,1996
1996-08-04,8,3,corn,1996
1996-08-11,8,3,corn,1996
1996-08-18,9,3,corn,1996
1996-08-25,9,3,corn,1996
1996-09-01,9,3,corn,1996
1996-09-08,9,3,corn,1996
1996-09-15,8,3,corn,1996
1996-09-22,8,3,corn,1996
1996-09-29,7,2,corn,1996
1996-10-06,7,2,corn,1996
1996-10-13,7,2,corn,1996
1997-06-01,6,1,corn,1997
1997-06-08,4,1,corn,1997
1997-06-15,5,1,corn,1997
1997-06-22,6,1,corn,1997
1997-06-29,4,1,corn,1997
1997-07-06,4,1,corn,1997
1997-07-13,4,1,corn,1997
1997-07-20,6,1,corn,1997
1997-07-27,6,2,corn,1997
1997-08-03,7,2,corn,1997
1997-08-10,11,3,corn,1997
1997-08-17,9,3,corn,1997
1997-08-24,8,2,corn,1997
1997-08-31,8,3,corn,1997
1997-09-07,8,2,corn,1997
1997-09-14,8,3,corn,1997
1997-09-21,8,3,corn,1997
1997-09-28,7,2,corn,1997
1997-10-05,7,2,corn,1997
1998-05-31,3,1,corn,1998
1998-06-07,4,1,corn,1998
1998-06-14,5,2,corn,1998
1998-06-21,6,3,corn,1998
1998-06-28,7,3,corn,1998
1998-07-05,7,3,corn,1998
1998-07-12,8,3,corn,1998
1998-07-19,7,4,corn,1998
1998-07-26,7,3,corn,1998
1998-08-02,7,3,corn,1998
1998-08-09,7,4,corn,1998
1998-08-16,7,3,corn,1998
1998-08-23,7,3,corn,1998
1998-08-30,7,2,corn,1998
1998-09-06,7,3,corn,1998
1998-09-13,8,3,corn,1998
1998-09-20,7,3,corn,1998
1998-09-27,6,3,corn,1998
1999-05-30,3,1,corn,1999
1999-06-06,3,1,corn,1999
1999-06-13,4,1,corn,1999
1999-06-20,4,1,corn,1999
1999-06-27,3,1,corn,1999
1999-07-04,4,1,corn,1999
1999-07-11,4,1,corn,1999
1999-07-18,6,2,corn,1999
1999-07-25,7,2,corn,1999
1999-08-01,9,3,corn,1999
1999-08-08,10,4,corn,1999
1999-08-15,10,5,corn,1999
1999-08-22,10,4,corn,1999
1999-08-29,10,4,corn,1999
1999-09-05,10,5,corn,1999
1999-09-12,10,5,corn,1999
1999-09-19,10,5,corn,1999
1999-09-26,9,5,corn,1999
1999-10-03,9,4,corn,1999
2000-05-21,4,1,corn,2000
2000-05-28,5,1,corn,2000
2000-06-04,4,1,corn,2000
2000-06-11,6,2,corn,2000
2000-06-18,5,2,corn,2000
2000-06-25,5,1,corn,2000
2000-07-02,5,2,corn,2000
2000-07-09,5,2,corn,2000
2000-07-16,5,2,corn,2000
2000-07-23,5,2,corn,2000
2000-07-30,5,2,corn,2000
2000-08-06,6,3,corn,2000
2000-08-13,6,3,corn,2000
2000-08-20,7,4,corn,2000
2000-08-27,7,4,corn,2000
2000-09-03,7,4,corn,2000
2000-09-10,8,5,corn,2000
2000-09-17,8,4,corn,2000
2000-09-24,8,4,corn,2000
2000-10-01,8,4,corn,2000
2001-05-20,4,1,corn,2001
2001-05-27,4,1,corn,2001
2001-06-03,6,1,corn,2001
2001-06-10,7,1,corn,2001
2001-06-17,7,2,corn,2001
2001-06-24,5,1,corn,2001
2001-07-01,6,1,corn,2001
2001-07-08,6,1,corn,2001
2001-07-15,7,2,corn,2001
2001-07-22,9,3,corn,2001
2001-07-29,8,2,corn,2001
2001-08-05,9,3,corn,2001
2001-08-12,10,4,corn,2001
2001-08-19,11,4,corn,2001
2001-08-26,11,4,corn,2001
2001-09-02,11,5,corn,2001
2001-09-09,11,4,corn,2001
2001-09-16,10,4,corn,2001
2001-09-23,10,4,corn,2001
2001-09-30,9,4,corn,2001
2001-10-07,9,3,corn,2001
2002-05-26,13,4,corn,2002
2002-06-02,8,3,corn,2002
2002-06-09,7,2,corn,2002
2002-06-16,7,2,corn,2002
2002-06-23,8,2,corn,2002
2002-06-30,9,3,corn,2002
2002-07-07,11,4,corn,2002
2002-07-14,13,5,corn,2002
2002-07-21,16,9,corn,2002
2002-07-28,17,10,corn,2002
2002-08-04,17,12,corn,2002
2002-08-11,18,13,corn,2002
2002-08-18,17,13,corn,2002
2002-08-25,16,13,corn,2002
2002-09-01,17,13,corn,2002
2002-09-08,17,14,corn,2002
2002-09-15,17,14,corn,2002
2002-09-22,17,13,corn,2002
2002-09-29,17,13,corn,2002
2002-10-06,17,12,corn,2002
2003-06-01,4,1,corn,2003
2003-06-08,5,1,corn,2003
2003-06-15,5,1,corn,2003
2003-06-22,5,1,corn,2003
2003-06-29,4,1,corn,2003
2003-07-06,5,1,corn,2003
2003-07-13,5,2,corn,2003
2003-07-20,6,2,corn,2003
2003-07-27,7,3,corn,2003
2003-08-03,8,3,corn,2003
2003-08-10,9,4,corn,2003
2003-08-17,10,6,corn,2003
2003-08-24,13,8,corn,2003
2003-08-31,16,9,corn,2003
2003-09-07,16,11,corn,2003
2003-09-14,16,10,corn,2003
2003-09-21,15,9,corn,2003
2003-09-28,14,8,corn,2003
2003-10-05,13,8,corn,2003
2003-10-12,13,7,corn,2003
2003-10-19,12,7,corn,2003
2004-05-23,4,1,corn,2004
2004-05-30,5,2,corn,2004
2004-06-06,5,2,corn,2004
2004-06-13,5,2,corn,2004
2004-06-20,6,2,corn,2004
2004-06-27,6,2,corn,2004
2004-07-04,5,2,corn,2004
2004-07-11,5,2,corn,2004
2004-07-18,4,2,corn,2004
2004-07-25,5,1,corn,2004
2004-08-01,5,2,corn,2004
2004-08-08,5,2,corn,2004
2004-08-15,6,2,corn,2004
2004-08-22,7,2,corn,2004
2004-08-29,7,2,corn,2004
2004-09-05,7,3,corn,2004
2004-09-12,7,3,corn,2004
2004-09-19,7,3,corn,2004
2004-09-26,6,3,corn,2004
2004-10-03,6,2,corn,2004
2004-10-10,5,3,corn,2004
2004-10-17,5,2,corn,2004
2004-10-24,5,2,corn,2004
2005-05-22,5,2,corn,2005
2005-05-29,6,1,corn,2005
2005-06-05,6,1,corn,2005
2005-06-12,5,1,corn,2005
2005-06-19,5,2,corn,2005
2005-06-26,8,2,corn,2005
2005-07-03,9,4,corn,2005
2005-07-10,11,6,corn,2005
2005-07-17,13,6,corn,2005
2005-07-24,14,7,corn,2005
2005-07-31,13,7,corn,2005
2005-08-07,14,8,corn,2005
2005-08-14,14,9,corn,2005
2005-08-21,14,9,corn,2005
2005-08-28,14,8,corn,2005
2005-09-04,14,9,corn,2005
2005-09-11,14,8,corn,2005
2005-09-18,13,8,corn,2005
2005-09-25,13,8,corn,2005
2005-10-02,12,7,corn,2005
2005-10-09,12,7,corn,2005
2005-10-16,11,7,corn,2005
2006-05-21,4,1,corn,2006
2006-05-28,4,1,corn,2006
2006-06-04,4,1,corn,2006
2006-06-11,5,1,corn,2006
2006-06-18,6,2,corn,2006
2006-06-25,5,2,corn,2006
2006-07-02,6,3,corn,2006
2006-07-09,8,3,corn,2006
2006-07-16,8,4,corn,2006
2006-07-23,10,5,corn,2006
2006-07-30,11,7,corn,2006
2006-08-06,11,7,corn,2006
2006-08-13,11,7,corn,2006
2006-08-20,11,7,corn,2006
2006-08-27,11,7,corn,2006
2006-09-03,10,6,corn,2006
2006-09-10,10,6,corn,2006
2006-09-17,9,6,corn,2006
2006-09-24,10,6,corn,2006
2006-10-01,10,5,corn,2006
2006-10-08,9,6,corn,2006
2006-10-15,9,6,corn,2006
2006-10-22,9,5,corn,2006
2007-05-20,2,0,corn,2007
2007-05-27,3,1,corn,2007
2007-06-03,3,1,corn,2007
2007-06-10,4,1,corn,2007
2007-06-17,6,2,corn,2007
2007-06-24,5,2,corn,2007
2007-07-01,5,2,corn,2007
2007-07-08,6,3,corn,2007
2007-07-15,8,4,corn,2007
2007-07-22,9,4,corn,2007
2007-07-29,11,5,corn,2007
2007-08-05,12,6,corn,2007
2007-08-12,12,6,corn,2007
2007-08-19,12,6,corn,2007
2007-08-26,10,6,corn,2007
2007-09-02,10,6,corn,2007
2007-09-09,10,6,corn,2007
2007-09-16,9,5,corn,2007
2007-09-23,9,5,corn,2007
2007-09-30,9,5,corn,2007
2007-10-07,9,5,corn,2007
2007-10-14,8,4,corn,2007
2008-06-01,5,2,corn,2008
2008-06-08,7,2,corn,2008
2008-06-15,9,3,corn,2008
2008-06-22,8,3,corn,2008
2008-06-29,8,3,corn,2008
2008-07-06,8,3,corn,2008
2008-07-13,7,3,corn,2008
2008-07-20,7,3,corn,2008
2008-07-27,7,3,corn,2008
2008-08-03,7,3,corn,2008
2008-08-10,7,3,corn,2008
2008-08-17,7,3,corn,2008
2008-08-24,8,4,corn,2008
2008-08-31,9,4,corn,2008
2008-09-07,9,4,corn,2008
2008-09-14,9,4,corn,2008
2008-09-21,10,4,corn,2008
2008-09-28,9,4,corn,2008
2008-10-05,9,4,corn,2008
2008-10-12,9,4,corn,2008
2008-10-19,9,4,corn,2008
2008-10-26,8,3,corn,2008
2008-11-02,8,3,corn,2008
2009-05-31,3,1,corn,2009
2009-06-07,5,1,corn,2009
2009-06-14,4,1,corn,2009
2009-06-21,5,2,corn,2009
2009-06-28,5,2,corn,2009
2009-07-05,6,2,corn,2009
2009-07-12,6,2,corn,2009
2009-07-19,5,2,corn,2009
2009-07-26,6,2,corn,2009
2009-08-02,7,3,corn,2009
2009-08-09,7,3,corn,2009
2009-08-16,7,3,corn,2009
2009-08-23,6,3,corn,2009
2009-08-30,7,3,corn,2009
2009-09-06,6,3,corn,2009
2009-09-13,6,3,corn,2009
2009-09-20,7,3,corn,2009
2009-09-27,7,3,corn,2009
2009-10-04,6,3,corn,2009
2009-10-11,6,3,corn,2009
2009-10-18,6,3,corn,2009
2009-10-25,6,3,corn,2009
2009-11-01,7,3,corn,2009
2009-11-08,7,3,corn,2009
2009-11-15,7,3,corn,2009
2010-05-16,5,1,corn,2010
2010-05-23,4,1,corn,2010
2010-05-30,3,1,corn,2010
2010-06-06,4,1,corn,2010
2010-06-13,4,1,corn,2010
2010-06-20,5,2,corn,2010
2010-06-27,6,2,corn,2010
2010-07-04,7,3,corn,2010
2010-07-11,7,2,corn,2010
2010-07-18,7,2,corn,2010
2010-07-25,7,2,corn,2010
2010-08-01,7,3,corn,2010
2010-08-08,7,3,corn,2010
2010-08-15,8,3,corn,2010
2010-08-22,7,3,corn,2010
2010-08-29,7,3,corn,2010
2010-09-05,8,3,corn,2010
2010-09-12,8,4,corn,2010
2010-09-19,8,3,corn,2010
2010-09-26,9,4,corn,2010
2010-10-03,9,4,corn,2010
2010-10-10,8,3,corn,2010
2011-05-29,4,2,corn,2011
2011-06-05,4,2,corn,2011
2011-06-12,4,2,corn,2011
2011-06-19,5,2,corn,2011
2011-06-26,6,3,corn,2011
2011-07-03,6,3,corn,2011
2011-07-10,6,3,corn,2011
2011-07-17,7,4,corn,2011
2011-07-24,9,5,corn,2011
2011-07-31,9,5,corn,2011
2011-08-07,10,6,corn,2011
2011-08-14,10,5,corn,2011
2011-08-21,11,6,corn,2011
2011-08-28,12,7,corn,2011
2011-09-04,13,8,corn,2011
2011-09-11,13,7,corn,2011
2011-09-18,13,8,corn,2011
2011-09-25,13,7,corn,2011
2011-10-02,13,7,corn,2011
2011-10-09,12,7,corn,2011
2011-10-16,12,7,corn,2011
2011-10-23,12,7,corn,2011
2012-05-20,2,1,corn,2012
2012-05-27,4,1,corn,2012
2012-06-03,4,1,corn,2012
2012-06-10,6,2,corn,2012
2012-06-17,7,2,corn,2012
2012-06-24,10,4,corn,2012
2012-07-01,15,7,corn,2012
2012-07-08,18,12,corn,2012
2012-07-15,22,16,corn,2012
2012-07-22,24,21,corn,2012
2012-07-29,25,23,corn,2012
2012-08-05,25,25,corn,2012
2012-08-12,25,26,corn,2012
2012-08-19,25,26,corn,2012
1986-05-25,3,3,cotton,1986
1986-06-01,6,0,cotton,1986
1986-06-08,5,1,cotton,1986
1986-06-15,6,2,cotton,1986
1986-06-22,9,2,cotton,1986
1986-06-29,10,0,cotton,1986
1986-07-06,9,0,cotton,1986
1986-07-13,5,1,cotton,1986
1986-07-20,5,0,cotton,1986
1986-07-27,8,2,cotton,1986
1986-08-03,10,2,cotton,1986
1986-08-10,9,3,cotton,1986
1986-08-17,8,3,cotton,1986
1986-08-24,10,2,cotton,1986
1986-08-31,9,2,cotton,1986
1986-09-07,7,3,cotton,1986
1986-09-14,7,2,cotton,1986
1986-09-21,11,2,cotton,1986
1986-09-28,10,2,cotton,1986
1987-05-31,13,2,cotton,1987
1987-06-07,9,3,cotton,1987
1987-06-14,6,3,cotton,1987
1987-06-21,4,1,cotton,1987
1987-06-28,3,0,cotton,1987
1987-07-05,3,0,cotton,1987
1987-07-12,1,0,cotton,1987
1987-07-19,1,0,cotton,1987
1987-07-26,2,1,cotton,1987
1987-08-02,3,0,cotton,1987
1987-08-09,3,0,cotton,1987
1987-08-16,3,0,cotton,1987
1987-08-23,2,0,cotton,1987
1987-08-30,2,0,cotton,1987
1987-09-06,1,0,cotton,1987
1987-09-13,2,0,cotton,1987
1987-09-20,1,1,cotton,1987
1987-09-27,2,0,cotton,1987
1987-10-04,2,0,cotton,1987
1987-10-11,1,0,cotton,1987
1987-10-18,2,0,cotton,1987
1988-05-29,13,0,cotton,1988
1988-06-05,12,2,cotton,1988
1988-06-12,9,1,cotton,1988
1988-06-19,14,2,cotton,1988
1988-06-26,18,2,cotton,1988
1988-07-03,15,4,cotton,1988
1988-07-10,7,2,cotton,1988
1988-07-17,5,2,cotton,1988
1988-07-24,5,2,cotton,1988
1988-07-31,2,2,cotton,1988
1988-08-07,2,1,cotton,1988
1988-08-14,2,1,cotton,1988
1988-08-21,1,0,cotton,1988
1988-08-28,3,1,cotton,1988
1988-09-04,4,1,cotton,1988
1988-09-11,3,1,cotton,1988
1988-09-18,4,1,cotton,1988
1989-06-04,19,0,cotton,1989
1989-06-11,11,1,cotton,1989
1989-06-18,16,1,cotton,1989
1989-06-25,18,0,cotton,1989
1989-07-02,17,0,cotton,1989
1989-07-09,13,2,cotton,1989
1989-07-16,13,1,cotton,1989
1989-07-23,15,1,cotton,1989
1989-07-30,18,1,cotton,1989
1989-08-06,16,0,cotton,1989
1989-08-13,10,0,cotton,1989
1989-08-20,8,0,cotton,1989
1989-08-27,7,0,cotton,1989
1989-09-03,9,0,cotton,1989
1989-09-10,6,0,cotton,1989
1989-09-17,7,0,cotton,1989
1989-09-24,12,1,cotton,1989
1989-10-01,10,1,cotton,1989
1990-06-03,9,0,cotton,1990
1990-06-10,4,1,cotton,1990
1990-06-17,6,1,cotton,1990
1990-06-24,6,1,cotton,1990
1990-07-01,9,0,cotton,1990
1990-07-08,7,3,cotton,1990
1990-07-15,7,1,cotton,1990
1990-07-22,3,0,cotton,1990
1990-07-29,8,0,cotton,1990
1990-08-05,6,0,cotton,1990
1990-08-12,6,1,cotton,1990
1990-08-19,6,1,cotton,1990
1990-08-26,6,1,cotton,1990
1990-09-02,7,2,cotton,1990
1990-09-09,9,2,cotton,1990
1990-09-16,6,2,cotton,1990
1990-09-23,7,1,cotton,1990
1990-09-30,4,1,cotton,1990
1990-10-07,4,1,cotton,1990
1990-10-14,5,1,cotton,1990
1991-06-02,5,1,cotton,1991
1991-06-09,6,1,cotton,1991
1991-06-16,5,1,cotton,1991
1991-06-23,9,0,cotton,1991
1991-06-30,5,1,cotton,1991
1991-07-07,3,2,cotton,1991
1991-07-14,1,2,cotton,1991
1991-07-21,2,2,cotton,1991
1991-07-28,2,2,cotton,1991
1991-08-04,2,2,cotton,1991
1991-08-11,4,2,cotton,1991
1991-08-18,3,0,cotton,1991
1991-08-25,7,0,cotton,1991
1991-09-01,4,0,cotton,1991
1991-09-08,2,0,cotton,1991
1991-09-15,2,0,cotton,1991
1991-09-22,7,0,cotton,1991
1991-09-29,5,0,cotton,1991
1991-10-06,7,5,cotton,1991
1991-10-13,4,0,cotton,1991
1991-10-20,6,0,cotton,1991
1991-10-27,5,0,cotton,1991
1992-05-31,5,0,cotton,1992
1992-06-07,18,4,cotton,1992
1992-06-14,17,11,cotton,1992
1992-06-21,13,10,cotton,1992
1992-06-28,14,8,cotton,1992
1992-07-05,11,8,cotton,1992
1992-07-12,11,5,cotton,1992
1992-07-19,13,3,cotton,1992
1992-07-26,7,4,cotton,1992
1992-08-02,8,3,cotton,1992
1992-08-09,9,3,cotton,1992
1992-08-16,2,5,cotton,1992
1992-08-23,5,5,cotton,1992
1992-08-30,11,5,cotton,1992
1992-09-06,4,5,cotton,1992
1992-09-13,3,3,cotton,1992
1992-09-20,8,0,cotton,1992
1992-09-27,5,1,cotton,1992
1992-10-04,6,1,cotton,1992
1992-10-11,6,0,cotton,1992
1992-10-18,5,0,cotton,1992
1992-10-25,2,1,cotton,1992
1992-11-01,5,0,cotton,1992
1993-05-30,10,0,cotton,1993
1993-06-06,6,2,cotton,1993
1993-06-13,4,1,cotton,1993
1993-06-20,5,0,cotton,1993
1993-06-27,3,1,cotton,1993
1993-07-04,1,0,cotton,1993
1993-07-11,4,0,cotton,1993
1993-07-18,4,0,cotton,1993
1993-07-25,5,0,cotton,1993
1993-08-01,6,2,cotton,1993
1993-08-08,5,0,cotton,1993
1993-08-15,6,1,cotton,1993
1993-08-22,7,0,cotton,1993
1993-08-29,10,1,cotton,1993
1993-09-05,6,2,cotton,1993
1993-09-12,9,0,cotton,1993
1993-09-19,10,1,cotton,1993
1993-09-26,9,0,cotton,1993
1993-10-03,11,0,cotton,1993
1993-10-10,12,0,cotton,1993
1993-10-17,14,1,cotton,1993
1994-05-22,5,1,cotton,1994
1994-05-29,5,0,cotton,1994
1994-06-05,4,0,cotton,1994
1994-06-12,1,0,cotton,1994
1994-06-19,3,0,cotton,1994
1994-06-26,1,0,cotton,1994
1994-07-03,3,0,cotton,1994
1994-07-10,4,0,cotton,1994
1994-07-17,1,0,cotton,1994
1994-07-24,2,0,cotton,1994
1994-07-31,3,0,cotton,1994
1994-08-07,7,0,cotton,1994
1994-08-14,3,0,cotton,1994
1994-08-21,6,0,cotton,1994
1994-08-28,6,0,cotton,1994
1994-09-04,10,0,cotton,1994
1994-09-11,6,1,cotton,1994
1994-09-18,6,1,cotton,1994
1994-09-25,7,1,cotton,1994
1994-10-02,8,0,cotton,1994
1994-10-09,7,0,cotton,1994
1994-10-16,4,0,cotton,1994
1994-10-23,8,0,cotton,1994
1994-10-30,6,0,cotton,1994
1995-05-21,5,2,cotton,1995
1995-05-28,7,0,cotton,1995
1995-06-04,5,0,cotton,1995
1995-06-11,7,5,cotton,1995
1995-06-18,10,2,cotton,1995
1995-06-25,6,1,cotton,1995
1995-07-02,7,1,cotton,1995
1995-07-09,7,1,cotton,1995
1995-07-16,7,2,cotton,1995
1995-07-23,10,1,cotton,1995
1995-07-30,9,2,cotton,1995
1995-08-06,8,5,cotton,1995
1995-08-13,7,1,cotton,1995
1995-08-20,11,2,cotton,1995
1995-08-27,10,2,cotton,1995
1995-09-03,16,2,cotton,1995
1995-09-10,12,3,cotton,1995
1995-09-17,15,3,cotton,1995
1995-09-24,17,4,cotton,1995
1995-10-01,18,5,cotton,1995
1995-10-08,18,5,cotton,1995
1995-10-15,18,4,cotton,1995
1995-10-22,16,5,cotton,1995
1996-06-02,9,3,cotton,1996
1996-06-09,12,1,cotton,1996
1996-06-16,14,5,cotton,1996
1996-06-23,13,5,cotton,1996
1996-06-30,11,6,cotton,1996
1996-07-07,11,4,cotton,1996
1996-07-14,13,5,cotton,1996
1996-07-21,10,3,cotton,1996
1996-07-28,11,3,cotton,1996
1996-08-04,10,3,cotton,1996
1996-08-11,12,3,cotton,1996
1996-08-18,10,4,cotton,1996
1996-08-25,9,4,cotton,1996
1996-09-01,10,3,cotton,1996
1996-09-08,10,4,cotton,1996
1996-09-15,10,2,cotton,1996
1996-09-22,8,3,cotton,1996
1996-09-29,10,4,cotton,1996
1996-10-06,12,2,cotton,1996
1996-10-13,10,2,cotton,1996
1996-10-20,10,3,cotton,1996
1996-10-27,9,4,cotton,1996
1997-06-01,6,1,cotton,1997
1997-06-08,9,1,cotton,1997
1997-06-15,9,2,cotton,1997
1997-06-22,10,4,cotton,1997
1997-06-29,10,3,cotton,1997
1997-07-06,11,2,cotton,1997
1997-07-13,8,2,cotton,1997
1997-07-20,8,2,cotton,1997
1997-07-27,11,3,cotton,1997
1997-08-03,9,2,cotton,1997
1997-08-10,9,2,cotton,1997
1997-08-17,9,2,cotton,1997
1997-08-24,10,2,cotton,1997
1997-08-31,10,1,cotton,1997
1997-09-07,10,1,cotton,1997
1997-09-14,11,2,cotton,1997
1997-09-21,10,3,cotton,1997
1997-09-28,11,2,cotton,1997
1997-10-05,9,2,cotton,1997
1997-10-12,7,2,cotton,1997
1997-10-19,10,2,cotton,1997
1998-05-31,12,6,cotton,1998
1998-06-07,13,8,cotton,1998
1998-06-14,14,9,cotton,1998
1998-06-21,16,12,cotton,1998
1998-06-28,18,11,cotton,1998
1998-07-05,20,14,cotton,1998
1998-07-12,21,14,cotton,1998
